(1.93877,  2.84218)
(1.93878,  3)
(2.2448,  0.000593256)
(2.2448,  0.158457)
(2.24481,  0.31632)
(2.24481,  0.474184)
(2.24482,  0.632047)
(2.24482,  0.789911)
(2.24483,  0.947774)
(2.24483,  1.10564)
(2.24484,  1.2635)
(2.24484,  1.42136)
(2.24485,  1.57923)
(2.24485,  1.73709)
(2.24486,  1.89496)
(2.24487,  2.05282)
(2.24487,  2.21068)
(2.24488,  2.36855)
(2.24488,  2.52641)
(2.24489,  2.68427)
(2.24489,  2.84214)
(2.2449,  3)
(2.55093,  0.000236617)
(2.55093,  0.158119)
(2.55094,  0.316001)
(2.55094,  0.473883)
(2.55095,  0.631766)
(2.55095,  0.789648)
(2.55096,  0.94753)
(2.55096,  1.10541)
(2.55097,  1.26329)
(2.55097,  1.42118)
(2.55098,  1.57906)
(2.55098,  1.73694)
(2.55099,  1.89482)
(2.55099,  2.05271)
(2.551,  2.21059)
(2.551,  2.36847)
(2.55101,  2.52635)
(2.55101,  2.68424)
(2.55102,  2.84212)
(2.55102,  3)
(2.85706,  9.41555e-05)
(2.85707,  0.157984)
(2.85707,  0.315874)
(2.85708,  0.473763)
(2.85708,  0.631653)
(2.85708,  0.789543)
(2.85709,  0.947433)
(2.85709,  1.10532)
(2.8571,  1.26321)
(2.8571,  1.4211)
(2.85711,  1.57899)
(2.85711,  1.73688)
(2.85711,  1.89477)
(2.85712,  2.05266)
(2.85712,  2.21055)
(2.85713,  2.36844)
(2.85713,  2.52633)
(2.85713,  2.68422)
(2.85714,  2.84211)
(2.85714,  3)
(3.1632,  3.73042e-05)
(3.1632,  0.15793)
(3.1632,  0.315823)
(3.16321,  0.473716)
(3.16321,  0.631608)
(3.16322,  0.789501)
(3.16322,  0.947394)
(3.16322,  1.10529)
(3.16323,  1.26318)
(3.16323,  1.42107)
(3.16323,  1.57897)
(3.16324,  1.73686)
(3.16324,  1.89475)
(3.16324,  2.05264)
(3.16325,  2.21054)
(3.16325,  2.36843)
(3.16325,  2.52632)
(3.16326,  2.68421)
(3.16326,  2.84211)
(3.16327,  3)
(3.46933,  1.46438e-05)
(3.46933,  0.157909)
(3.46934,  0.315803)
(3.46934,  0.473697)
(3.46934,  0.631591)
(3.46935,  0.789484)
(3.46935,  0.947378)
(3.46935,  1.10527)
(3.46935,  1.26317)
(3.46936,  1.42106)
(3.46936,  1.57895)
(3.46936,  1.73685)
(3.46937,  1.89474)
(3.46937,  2.05264)
(3.46937,  2.21053)
(3.46938,  2.36842)
(3.46938,  2.52632)
(3.46938,  2.68421)
(3.46938,  2.84211)
(3.46939,  3)
(3.77546,  5.63399e-06)
(3.77547,  0.1579)
(3.77547,  0.315795)
(3.77547,  0.473689)
(3.77547,  0.631583)
(3.77548,  0.789478)
(3.77548,  0.947372)
(3.77548,  1.10527)
(3.77548,  1.26316)
(3.77549,  1.42106)
(3.77549,  1.57895)
(3.77549,  1.73684)
(3.77549,  1.89474)
(3.7755,  2.05263)
(3.7755,  2.21053)
(3.7755,  2.36842)
(3.7755,  2.52632)
(3.77551,  2.68421)
(3.77551,  2.84211)
(3.77551,  3)
(4.0816,  2.07336e-06)
(4.0816,  0.157897)
(4.0816,  0.315791)
(4.0816,  0.473686)
(4.08161,  0.631581)
(4.08161,  0.789475)
(4.08161,  0.94737)
(4.08161,  1.10526)
(4.08161,  1.26316)
(4.08161,  1.42105)
(4.08162,  1.57895)
(4.08162,  1.73684)
(4.08162,  1.89474)
(4.08162,  2.05263)
(4.08162,  2.21053)
(4.08163,  2.36842)
(4.08163,  2.52632)
(4.08163,  2.68421)
(4.08163,  2.84211)
(4.08163,  3)
(4.38773,  6.87887e-07)
(4.38773,  0.157895)
(4.38773,  0.31579)
(4.38774,  0.473685)
(4.38774,  0.631579)
(4.38774,  0.789474)
(4.38774,  0.947369)
(4.38774,  1.10526)
(4.38774,  1.26316)
(4.38774,  1.42105)
(4.38774,  1.57895)
(4.38775,  1.73684)
(4.38775,  1.89474)
(4.38775,  2.05263)
(4.38775,  2.21053)
(4.38775,  2.36842)
(4.38775,  2.52632)
(4.38775,  2.68421)
(4.38775,  2.84211)
(4.38776,  3)
(4.69387,  1.7066e-07)
(4.69387,  0.157895)
(4.69387,  0.31579)
(4.69387,  0.473684)
(4.69387,  0.631579)
(4.69387,  0.789474)
(4.69387,  0.947369)
(4.69387,  1.10526)
(4.69387,  1.26316)
(4.69387,  1.42105)
(4.69387,  1.57895)
(4.69387,  1.73684)
(4.69387,  1.89474)
(4.69387,  2.05263)
(4.69387,  2.21053)
(4.69388,  2.36842)
(4.69388,  2.52632)
(4.69388,  2.68421)
(4.69388,  2.84211)
(4.69388,  3)
(5,  4.76456e-22)
(5,  0.157895)
(5,  0.315789)
(5,  0.473684)
(5,  0.631579)
(5,  0.789474)
(5,  0.947368)
(5,  1.10526)
(5,  1.26316)
(5,  1.42105)
(5,  1.57895)
(5,  1.73684)
(5,  1.89474)
(5,  2.05263)
(5,  2.21053)
(5,  2.36842)
(5,  2.52632)
(5,  2.68421)
(5,  2.84211)
(5,  3)
